Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
1003|K6432800|BANCOS DE INVESTIMENTO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
996|K6422100|BANCOS MÚLTIPLOS, COM CARTEIRA COMERCIAL|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1002|K6431000|BANCOS MÚLTIPLOS, SEM CARTEIRA COMERCIAL|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
943|I5611202|BARES E OUTROS ESTABELECIMENTOS ESPECIAL|337,13|345,29|378,7141|410,6018|429,5305|447,7426
192|C1061901|BENEFICIAMENTO DE ARROZ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
205|C1081301|BENEFICIAMENTO DE CAFÉ|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
124|B0500302|BENEFICIAMENTO DE CARVÃO MINERAL|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
153|B0810010|BENEFICIAMENTO DE GESSO E CAULIM ASSOCIA|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
131|B0721902|BENEFICIAMENTO DE MINÉRIO DE ALUMÍNIO|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
133|B0722702|BENEFICIAMENTO DE MINÉRIO DE ESTANHO|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
135|B0723502|BENEFICIAMENTO DE MINÉRIO DE MANGANÊS|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
137|B0724302|BENEFICIAMENTO DE MINÉRIO DE METAIS PREC|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
143|B0729405|BENEFICIAMENTO DE MINÉRIOS DE COBRE, CHU|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1037|K6611802|BOLSA DE MERCADORIAS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1038|K6611803|BOLSA DE MERCADORIAS E FUTUROS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1036|K6611801|BOLSA DE VALORES|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
371|C2391501|BRITAMENTO DE PEDRAS, EXCETO ASSOCIADO À|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1287|S9602501|CABELEIREIROS|134,86|138,12|151,49|164,2455|171,8172|179,1022
82|A0170900|CAÇA E SERVIÇOS RELACIONADOS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1025|K6499904|CAIXAS DE FINANCIAMENTO DE CORPORAÇÕES|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
997|K6423900|CAIXAS ECONÔMICAS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1049|K6619304|CAIXAS ELETRÔNICOS|719,2|736,6|807,9029|875,9283|916,3086|955,1601
939|I5590602|CAMPINGS|134,86|138,12|151,49|164,2455|171,8172|179,1022
948|I5620103|CANTINAS - SERVIÇOS DE ALIMENTAÇÃO PRIVA|134,86|138,12|151,49|164,2455|171,8172|179,1022
585|E3600601|CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE Á|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
913|H5212500|CARGA E DESCARGA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1065|M6912500|CARTÓRIOS|269,71|276,24|302,98|328,491|343,6344|358,2045
1252|R9200301|CASAS DE BINGO|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1143|N8230002|CASAS DE FESTAS E EVENTOS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1151|N8299706|CASAS LOTÉRICAS|382,08|391,33|429,2107|465,3503|486,8029|507,4434
1229|Q8711504|CENTROS DE APOIO A PACIENTES COM CÂNCER|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1278|S9529102|CHAVEIROS|22,47|23,02|25,2483|27,3742|28,6362|29,8504
1295|S9609201|CLÍNICAS DE ESTÉTICA E SIMILARES|269,71|276,24|302,98|328,491|343,6344|358,2045
1226|Q8711501|CLÍNICAS E RESIDÊNCIAS GERIÁTRICAS|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1022|K6499901|CLUBES DE INVESTIMENTO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1256|R9312300|CLUBES SOCIAIS, ESPORTIVOS E SIMILARES|449,5|460,38|504,9448|547,4611|572,6991|596,9815
95|A0220903|COLETA DE CASTANHA-DO-PARÁ EM FLORESTAS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
96|A0220904|COLETA DE LÁTEX EM FLORESTAS NATIVAS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
107|A0312403|COLETA DE OUTROS PRODUTOS AQUÁTICOS DE Á|134,86|138,12|151,49|164,2455|171,8172|179,1022
103|A0311603|COLETA DE OUTROS PRODUTOS MARINHOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
97|A0220905|COLETA DE PALMITO EM FLORESTAS NATIVAS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
99|A0220999|COLETA DE PRODUTOS NÃO-MADEIREIROS NÃO E|449,5|460,38|504,9448|547,4611|572,6991|596,9815
589|E3811400|COLETA DE RESÍDUOS NÃO-PERIGOSOS|831,56|851,69|934,1336|1012,7876|1059,4772|1104,399
590|E3812200|COLETA DE RESÍDUOS PERIGOSOS|831,56|851,69|934,1336|1012,7876|1059,4772|1104,399
855|G4784900|COM. VAREJ. DE GÁS LIQÜEF. DE PETRÓLEO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
647|G4511102|COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONE|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
646|G4511101|COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONE|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
669|G4541203|COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTO|269,71|276,24|302,98|328,491|343,6344|358,2045
670|G4541204|COMÉRCIO A VAREJO DE MOTOCICLETAS E MOTO|269,71|276,24|302,98|328,491|343,6344|358,2045
671|G4541205|COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS|202,28|207,17|227,2241|246,3563|257,7133|268,6404
